#tail	head	KSP index
Q15796	Q09472	93
Q13485	Q09472	93
O15105	Q09472	93
P84022	Q09472	93
Q9Y6Q9	Q09472	93
P05106	Q13418	96
O15264	P53539	98
Q16539	P53539	98
Q15759	P53539	98
P53778	P53539	98
P05412	P53539	98
P45984	P53539	98
P53779	P53539	98
P29353	O43524	99
O43524	P55316	99
P62993	O75593	100
Q15796	O75593	100
Q13485	O75593	100
P84022	O75593	100
O15264	Q12778	101
Q16539	Q12778	101
Q15759	Q12778	101
P53778	Q12778	101
P45984	Q12778	101
P53779	Q12778	101
O15264	P98177	103
Q16539	P98177	103
Q15759	P98177	103
P53778	P98177	103
P45984	P98177	103
P53779	P98177	103
Q13485	P31269	106
P15336	Q8IU81	108
P27361	Q15583	108
P28482	Q15583	108
P05412	Q15583	108
Q15796	Q15583	108
Q13485	Q15583	108
O15264	P17275	110
Q16539	P17275	110
Q15759	P17275	110
P01100	P17275	110
P53778	P17275	110
P05412	P17275	110
P45984	P17275	110
P53779	P17275	110
O15264	P17535	111
Q16539	P17535	111
Q15759	P17535	111
P01100	P17535	111
P53778	P17535	111
P45984	P17535	111
P53779	P17535	111
P01112	Q13233	112
P29353	Q13233	112
P01111	Q13233	112
P01116	Q13233	112
P29353	P22681	112
P19174	P22681	112
P45984	Q96J02	112
P53779	Q96J02	112
Q16539	Q06413	115
P05106	Q63HR2	116
Q63HR2	P04626	116
Q9UQF2	P04626	116
Q9Y490	P04626	116
P05106	Q7Z6G8	116
Q7Z6G8	P04626	116
Q63HR2	P21860	116
P29353	Q13191	116
P05106	O14924	116
Q7Z6G8	Q15303	116
P29353	P36897	124
Q16539	P06400	125
P01112	P04049	125
P01111	P04049	125
P01116	P04049	125
P01112	P15056	125
P15056	P06400	125
P01111	P15056	125
P01116	P15056	125
P37173	Q9Y4K3	128
Q9Y4K3	Q01196	128
P84022	Q01196	128
P40763	Q13950	129
Q15796	Q13950	129
Q13485	Q13950	129
P84022	Q13950	129
P05106	Q8N3E9	132
Q8N3E9	P12757	132
Q15796	P48436	141
P84022	P48436	141
P00519	O15350	148
Q15796	O15350	148
P84022	O15350	148
P63104	Q9GZV5	152
Q15796	Q9GZV5	152
P37173	P30153	152
P30153	Q9GZV5	152
P67775	Q9GZV5	152
Q13485	Q9GZV5	152
P37173	P62714	152
P62714	Q9GZV5	152
P84022	Q9GZV5	152
P34741	P01137	155
P01137	P84022	155
P84022	P10275	155
P01137	P45984	156
P01137	P45983	156
P01137	P53779	156
P01137	P05067	159
P05067	P11142	159
P11142	Q99966	159
P01137	P36897	159
P36897	Q13485	159
P34741	Q03167	159
Q03167	P36897	159
P01137	Q15796	159
Q15796	Q13485	159
P01137	P37173	159
Q03167	P37173	159
P84022	Q13485	159
P45984	P05412	159
P45983	P05412	159
Q15796	P05412	159
P53779	P05412	159
P84022	P05412	159
P15336	Q99966	159
Q09472	Q99966	159
P34741	P35241	160
P35241	P05107	160
P05107	Q92905	160
P45983	P35222	163
Q15796	P35222	163
P84022	P35222	163
P36897	P98082	164
Q15796	P98082	164
P84022	P98082	164
P36897	Q9UER7	165
P34741	P15311	166
P15311	P63104	166
Q15796	P03372	171
P84022	P03372	171
P84022	P14921	172
P35241	P52565	173
P52565	Q01844	173
P45984	P01100	174
P53779	P01100	174
P45984	O43524	176
P45983	O43524	176
Q15796	O43524	176
P53779	O43524	176
P84022	O43524	176
Q12778	P55316	176
P34741	P26038	183
P26038	P19320	183
P15311	P19320	183
P45984	P19838	194
P45983	P19838	194
P53779	P19838	194
P45984	P10276	194
P10276	Q15788	194
P45983	P10276	194
P53779	P10276	194
P45983	P40763	194
Q09472	Q15788	194
P45984	P04637	199
P04637	O75925	199
P45983	P04637	199
Q15796	P04637	199
P53779	P04637	199
P84022	P04637	199
P03372	O75925	199
P10275	O75925	199
P01106	O75928	200
P26038	P24941	202
P24941	P06400	202
P45984	P67775	204
P45983	P67775	204
Q13547	Q08999	204
Q16254	Q08999	204
Q14186	Q08999	204
P84022	Q13761	207
P36897	O15105	214
Q15796	Q9HAU4	215
P84022	Q9HAU4	215
Q15796	P08047	219
P84022	P08047	219
Q09472	P15884	220
P36897	Q9H0M0	228
Q15796	Q9H0M0	228
P36897	Q03135	232
Q03135	P10275	232
P36897	P84022	232
Q9UER7	P10275	232
P36897	P36873	233
P36873	P15336	233
P36897	P27986	235
P36897	P98170	235
P98170	P38398	235
P36897	P63104	240
P63104	P35222	240
P36897	P37173	240
Q13485	P35222	240
O15105	P35222	240
P36897	Q15796	240
P36897	O15169	240
O15169	P35222	240
P27986	P03372	248
Q13485	P03372	248
P36873	P03372	248
Q9UER7	P14921	249
P36897	Q9Y3F4	250
Q9Y3F4	Q01844	250
P63104	O43524	253
P36897	P29353	253
P36897	P30153	253
P30153	O43524	253
Q13485	O43524	253
P29590	Q15583	262
Q13485	P05412	263
O15169	P01106	270
P36897	Q9Y4K3	271
Q9Y4K3	P19838	271
P27986	P40763	271
P36897	O00459	271
O00459	P40763	271
Q9UER7	P40763	271
P27986	P19793	271
P19793	Q15788	271
O15105	O75925	276
P36897	Q00534	279
Q00534	P06400	279
P36897	P11802	279
P11802	P06400	279
Q00534	Q08999	281
P11802	Q08999	281
Q13485	Q13761	284
Q9H0M0	Q9HAU4	292
O15105	Q9HAU4	292
O43541	Q9HAU4	292
Q13485	P08047	296
